17
880 806
502 776 883
105 472 -424
50 672 595
167 337 -82
249 28 856
648 555 455
767 863 -53
256 383 -497
745 390 280
739 482 -367
309 715 -998
745 756 -533
758 195 97
680 65 478
86 256 -52
321 131 -691
318 9 923
611 590 469
152 634 123
343 150 -848
192 439 697
349 170 -367
606 677 -235
475 645 847
462 384 -390
799 521 215
449 139 981
47 627 -460
53 164 986
522 808 -814
200 590 -451
226 551 -61
191 411 271
478 218 64
673 660 -928
57 67 106
789 334 82
515 441 623
178 546 -833
879 347 998
589 42 -26
536 789 -445
382 813 802
56 54 396
588 619 -965
616 726 636
685 154 195
733 749 -332
149 655 -874
769 527 -21
697 731 12
270 11 602
780 820 -331
784 298 486
830 580 499
678 256 205
275 864 66
52 225 -547
287 738 -751
102 433 980
377 427 979
840 715 950
850 430 62
19 341 -419
150 687 -869
254 265 858
196 191 -579
730 745 736
400 556 -912
628 710 -910
51 475 884
332 38 -997
68 789 355
441 133 404
846 722 646
19 230 624
799 198 426
741 164 -74
226 63 39
866 764 -247
498 835 173
115 464 -663
41 520 -696
249 425 -66
610 14 174
377 603 237
133 584 374
47 85 -569
9 36 -941
380 358 411
392 779 -550
293 695 -614
870 279 -933
653 66 -625
405 617 -939
143 11 -820
455 292 695
396 700 930
337 779 66
21 726 -151
497 227 749
759 821 -344
608 743 547
360 714 -753
366 265 -861
784 33 -49
524 380 -966
722 71 -558
845 472 167
851 163 -818
480 179 839
805 437 -59
727 383 -824
384 441 -576
116 372 -152
109 570 -152
854 718 832
272 581 301
779 880 -800
258 15 671
285 116 119
875 454 -340
28 344 986
506 261 -843
729 59 786
155 734 -534
628 548 -154
604 394 452
479 612 397
793 271 521
673 817 547
423 127 407
324 646 618
801 162 -518
2 57 915
779 213 471
328 746 -662
262 261 41
632 606 -334
602 157 263
148 546 -466
260 517 18
46 543 667
615 334 -788
626 88 169
416 95 -480
559 680 65
196 293 720
473 63 94
588 681 616
451 237 -911
86 527 581
589 198 991
200 308 911
177 329 -53
863 311 720
611 623 680
780 397 290
474 630 568
346 294 337
408 448 259
693 202 717
822 60 -83
233 248 425
702 100 -429
321 147 -215
859 311 -852
180 241 43
200 41 910
46 439 -39
353 123 522
208 253 22
707 18 -414
461 564 413
202 339 -899
73 445 -249
804 551 -44
