943 812
916 933 741
76 267 -790
924 552 805
127 252 195
535 736 -562
446 782 -982
364 373 -384
912 136 -213
152 319 133
213 853 -605
613 322 -57
265 823 9
474 370 114
811 689 954
128 550 93
228 908 -198
794 184 227
592 99 827
919 67 -224
428 518 733
167 577 949
817 505 13
2 58 512
651 416 446
141 557 819
254 326 426
914 390 994
513 575 287
687 875 -932
446 823 -677
815 270 913
571 300 -330
9 607 -951
699 906 514
540 789 -455
905 584 -734
267 262 -627
10 612 263
195 883 -396
45 849 -500
320 568 299
585 196 -787
602 701 373
337 241 -317
329 786 291
9 767 694
275 567 -578
879 866 -961
22 273 522
719 2 -991
324 664 -472
85 422 49
42 706 510
586 203 -633
40 338 -573
620 753 -52
781 893 292
222 159 771
291 187 221
666 464 855
407 436 274
741 634 -565
363 381 317
695 77 -553
943 879 -554
729 851 -908
678 369 -131
595 725 957
837 61 259
611 891 104
760 267 5
453 236 167
146 272 -977
348 279 867
61 925 644
153 20 -742
504 692 -712
612 482 -392
44 584 -393
147 789 -536
448 861 61
891 689 -352
15 502 695
586 468 -462
12 806 24
296 422 872
43 479 124
551 115 600
198 323 -389
200 322 892
601 41 -695
548 313 -445
905 605 680
357 303 875
273 105 446
323 895 144
344 611 873
643 180 916
218 340 -810
670 298 -55
838 389 459
733 482 -849
859 141 -871
113 312 -163
249 769 -746
173 558 -66
599 604 -678
129 427 158
825 98 -387
418 7 -630
822 818 336
78 668 648
71 721 -363
363 718 990
41 596 368
264 517 268
74 341 902
95 646 984
218 755 693
781 446 175
384 942 -1000
844 929 812
616 271 -199
70 151 274
573 903 722
184 591 -520
717 833 -744
873 709 -569
634 395 -102
256 748 -244
188 249 423
388 859 -200
332 110 -791
918 910 -948
257 786 -290
724 619 710
180 507 197
442 886 642
65 829 -73
89 665 62
940 75 -376
639 192 828
314 744 -37
464 410 389
894 341 428
34 852 161
290 928 934
321 137 -232
178 513 654
863 9 284
899 401 156
439 518 187
714 824 325
1 362 493
929 882 -100
46 552 -697
82 293 -470
633 394 623
200 792 569
859 741 -578
508 936 -939
550 817 615
307 433 -748
791 534 -312
786 534 -537
663 37 9
683 369 -364
486 138 96
213 560 112
301 860 598
514 332 -531
774 754 301
730 196 740
32 812 885
666 663 600
619 717 625
355 734 657
130 727 -927
854 685 44
265 6 136
724 7 506
595 769 -820
150 884 -710
277 798 -663
25 630 956
775 788 -649
213 627 -152
664 412 -908
814 752 -270
74 7 228
800 641 -790
153 830 -763
